Text to Coded,A Dileep,,,,,,,,
Is it possible to Code Entire Text,TRUE,,,,,,,,
,,,,,,,,,
Describe Your Coding Matrix  (Key),,1,10,21,16,9,,,"1,10,21,16,9,"
,,20,2,11,8,23,,,"20,2,11,8,23,"
,,19,15,3,12,24,,,"19,15,3,12,24,"
,,14,7,18,4,13,,,"14,7,18,4,13,"
,,6,25,22,17,5,,,"6,25,22,17,5,"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Text Matrix,,A,p,p,p,p,,,
,,p, ,p,p,p,,,
,,p,p,D,p,p,,,
,,p,e,p,i,p,,,
,,e,p,p,p,l,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Valaya,,97,112,112,112,112,,,
,,112,32,112,112,112,,,
,,112,112,100,112,112,,,
,,112,101,112,105,112,,,
,,101,112,112,112,108,,,
